,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
FDT,17d RSI FDT LT47 - L FDT,-0.6 %,7.4 %,-323,3730,100.0 %,8.4 %,-0.6 %,88.8 %,-0.7 %,-10.0 %,3,7,0.2,0.6,33.3 %,85.7 %,0,0.8,-108,519,-0.2 %,1.0 %,4,2,2,1,1,3,2,0,1,5,1,0,0,4,0.5,6,1,6,0,4.8,-2.1,1.7,-657,-965,-0.7 %,-1.9 %,-657,0,-0.7 %,0.0 %,-645,0,-0.6 %,0.0 %,33.3 %,85.7 %,33.3 %,85.7 %,33.3 %,100.0 %,6,766,-164,-965,0.0 %,100.0 %
FDVV,3d RSI FDVV LT10 - L FDVV,-2.8 %,8.4 %,-1375,4257,88.2 %,7.6 %,-3.1 %,112.0 %,-1.6 %,-6.0 %,2,5,0.2,0.4,0.0 %,80.0 %,0,6.2,-688,823,-1.4 %,1.6 %,6.5,2.8,2,1,0,4,2,1,0,4,1,1,0,4,0,4,0,4,0,24.7,-9.1,2.4,-2750,-174,-2.8 %,-0.3 %,-2750,-174,-2.8 %,-0.3 %,-2750,-174,-2.8 %,-0.3 %,0.0 %,80.0 %,0.0 %,80.0 %,0.0 %,80.0 %,0,1072,-688,-174,0.0 %,80.0 %
FEMB,9d RSI FEMB LT67 - L FEMB,-1.9 %,26.8 %,-939,13517,74.5 %,86.0 %,-2.5 %,31.4 %,-4.4 %,-3.1 %,9,40,0.8,3.4,66.7 %,85.0 %,0.3,2.1,-104,299,-0.2 %,0.6 %,3.4,4.3,3,1,6,11,3,1,6,24,1,0,2,12,2,5.7,6,34,0.6,12.1,-0.5,5.7,-4568,-468,-4.6 %,-0.9 %,-4568,-247,-4.6 %,-0.5 %,-4568,0,-4.6 %,0.0 %,66.7 %,85.0 %,66.7 %,85.0 %,66.7 %,90.6 %,224,384,-761,-180,66.7 %,100.0 %
FEZ,21d RSI FEZ LT45 - L FEZ,1.4 %,10.6 %,684,5315,100.0 %,6.4 %,1.4 %,166.1 %,-1.1 %,-5.3 %,5,5,0.4,0.4,60.0 %,100.0 %,1.5,,137,1018,0.3 %,2.0 %,2.4,2.2,2,0,2,5,1,0,2,4,0,0,1,4,1.5,,3,5,2.2,,0.7,3,-1100,0,-1.1 %,0.0 %,-1036,0,-1.0 %,0.0 %,0,0,0.0 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,75.0 %,100.0 %,411,1018,-275,0,100.0 %,100.0 %
FFTY,3d RSI FFTY LT17 - L FFTY,6.1 %,25.5 %,3031,12852,35.9 %,14.4 %,16.9 %,178.5 %,-0.4 %,-7.1 %,3,10,0.2,0.8,66.7 %,90.0 %,7.7,1.4,1010,1161,2.0 %,2.3 %,3.7,2.6,1,1,2,7,1,1,2,7,0,1,2,5,2,9,2,9,15.4,12.5,2,3.2,-422,-1010,-0.4 %,-2.0 %,-422,-1010,-0.4 %,-2.0 %,0,-1010,0.0 %,-2.0 %,66.7 %,90.0 %,66.7 %,90.0 %,66.7 %,90.0 %,1621,1402,-211,-1010,100.0 %,85.7 %
FGD,20d RSI FGD LT50 - L FGD,-2.5 %,14.9 %,-1267,7511,100.0 %,13.6 %,-2.5 %,110.5 %,-1.7 %,-4.8 %,4,11,0.3,0.9,25.0 %,90.9 %,0.7,2.5,-317,637,-0.6 %,1.3 %,3.2,2.1,3,1,1,9,3,1,0,7,1,0,0,6,0.3,10,1,10,0.2,25.5,-1.5,5.5,-3269,-286,-3.3 %,-0.6 %,-2535,-286,-2.5 %,-0.6 %,-2535,0,-2.5 %,0.0 %,25.0 %,90.9 %,25.0 %,90.9 %,0.0 %,88.9 %,367,729,-545,-286,0.0 %,100.0 %
FHLC,4d RSI FHLC LT26 - L FHLC,-1.2 %,21.4 %,-596,10799,39.0 %,17.6 %,-3.1 %,122.7 %,-1.7 %,-5.7 %,3,12,0.2,1,66.7 %,100.0 %,0.1,,-199,817,-0.4 %,1.6 %,4.3,2.7,1,0,2,12,1,0,2,10,1,0,1,9,2,,2,12,0.3,,-0.7,6.9,-1696,0,-1.7 %,0.0 %,-1696,0,-1.7 %,0.0 %,-1313,0,-1.3 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,126,817,-848,0,50.0 %,100.0 %
FIDU,3d RSI FIDU LT17 - L FIDU,1.5 %,15.3 %,739,7693,85.7 %,16.8 %,1.7 %,91.6 %,0.0 %,-4.5 %,2,9,0.2,0.8,100.0 %,77.8 %,,2.2,369,809,0.7 %,1.6 %,5,3.6,0,1,2,7,0,1,2,7,0,1,1,6,,3.5,2,7,,7.8,5.7,2,0,-585,0.0 %,-1.2 %,0,-585,0.0 %,-1.2 %,0,-480,0.0 %,-1.0 %,100.0 %,77.8 %,100.0 %,77.8 %,100.0 %,77.8 %,369,1193,0,-532,100.0 %,85.7 %
FIXD,6d RSI FIXD LT27 - L FIXD,0.9 %,2.3 %,469,1144,78.6 %,6.4 %,1.2 %,35.8 %,0.0 %,-1.0 %,3,4,0.2,0.3,100.0 %,100.0 %,,,156,282,0.3 %,0.6 %,2.7,3,0,0,3,4,0,0,3,4,0,0,1,4,,,3,4,,,3,3.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,156,282,0,0,100.0 %,100.0 %
FLCH,11d RSI FLCH LT33 - L FLCH,-0.4 %,7.4 %,-197,3741,50.0 %,7.6 %,-0.8 %,98.5 %,0.0 %,-10.5 %,2,5,0.2,0.4,50.0 %,80.0 %,0.9,2.2,-99,725,-0.2 %,1.4 %,3.5,2.8,1,1,1,3,1,1,1,3,1,1,0,3,1,4,1,4,0.9,8.7,-0.1,2.6,-3110,-469,-3.1 %,-0.9 %,-3110,-469,-3.1 %,-0.9 %,-394,-469,-0.4 %,-0.9 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,80.0 %,1358,1024,-1555,-469,0.0 %,80.0 %
FLCO,12d RSI FLCO LT37 - L FLCO,0.5 %,2.6 %,247,1301,92.9 %,6.0 %,0.5 %,43.4 %,0.0 %,-1.1 %,3,5,0.2,0.4,66.7 %,100.0 %,,,82,256,0.2 %,0.5 %,3.3,2,1,0,1,5,1,0,1,4,0,0,1,3,2,,2,5,,,1.4,2.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,124,256,0,0,100.0 %,100.0 %
FLGB,7d RSI FLGB LT38 - L FLGB,-0.9 %,12.1 %,-451,6078,94.1 %,11.6 %,-1.0 %,104.8 %,-1.5 %,-5.4 %,4,9,0.3,0.8,25.0 %,100.0 %,1.2,,-113,638,-0.2 %,1.3 %,3,2.2,3,0,1,9,3,0,1,8,1,0,0,6,0.3,,1,9,0.4,,-0.9,5.3,-1489,0,-1.5 %,0.0 %,-1489,0,-1.5 %,0.0 %,-901,0,-0.9 %,0.0 %,25.0 %,100.0 %,25.0 %,100.0 %,25.0 %,100.0 %,294,638,-248,0,0.0 %,100.0 %
FLJP,17d RSI FLJP LT42 - L FLJP,2.6 %,11.5 %,1315,5802,78.6 %,7.6 %,3.3 %,152.7 %,0.0 %,-8.3 %,3,6,0.2,0.5,100.0 %,100.0 %,,,438,918,0.9 %,1.8 %,2.7,2.2,0,0,3,6,0,0,3,4,0,0,1,4,,,3,6,,,13.3,5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,438,918,0,0,100.0 %,100.0 %
FLKR,3d RSI FLKR LT14 - L FLKR,0.5 %,14.8 %,244,7448,100.0 %,9.6 %,0.5 %,155.2 %,0.0 %,-5.5 %,1,7,0.1,0.6,100.0 %,71.4 %,,17.3,244,999,0.5 %,2.0 %,4,2.4,0,1,1,3,0,1,1,3,0,1,1,3,,2.5,1,5,,43.3,0,3.7,0,-138,0.0 %,-0.3 %,0,-138,0.0 %,-0.3 %,0,-138,0.0 %,-0.3 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,71.4 %,244,1432,0,-83,100.0 %,80.0 %
FLMI,3d RSI FLMI LT11 - L FLMI,-0.6 %,2.1 %,-279,1047,83.3 %,6.4 %,-0.7 %,32.7 %,-0.1 %,-1.8 %,2,5,0.2,0.4,0.0 %,80.0 %,0,12.3,-140,206,-0.3 %,0.4 %,6.5,2.2,2,1,0,3,2,1,0,3,1,1,0,3,0,4,0,4,0,49.3,-2.5,3.4,-558,-21,-0.6 %,-0.0 %,-558,-21,-0.6 %,-0.0 %,-558,-21,-0.6 %,-0.0 %,0.0 %,80.0 %,0.0 %,80.0 %,0.0 %,80.0 %,0,263,-140,-21,0.0 %,80.0 %
FLOT,21d RSI FLOT LT68 - L FLOT,0.3 %,1.6 %,147,817,100.0 %,17.6 %,0.3 %,9.3 %,0.0 %,-1.0 %,2,11,0.2,0.9,100.0 %,100.0 %,,,74,73,0.1 %,0.1 %,3,3,0,0,2,11,0,0,2,6,0,0,1,3,,,2,11,,,3,2.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,74,73,0,0,100.0 %,100.0 %
FLRN,20d RSI FLRN LT63 - L FLRN,0.2 %,1.6 %,114,798,100.0 %,13.2 %,0.2 %,12.1 %,0.0 %,-0.9 %,1,9,0.1,0.8,100.0 %,100.0 %,,,114,87,0.2 %,0.2 %,7,2.7,0,0,1,9,0,0,1,6,0,0,1,2,,,1,9,,,0,2.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,114,87,0,0,100.0 %,100.0 %
FLTR,21d RSI FLTR LT55 - L FLTR,0.1 %,1.2 %,59,611,100.0 %,7.6 %,0.1 %,16.1 %,0.0 %,-1.6 %,1,4,0.1,0.3,100.0 %,100.0 %,,,59,151,0.1 %,0.3 %,2,3.8,0,0,1,4,0,0,1,3,0,0,1,2,,,1,4,,,0,1.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,59,151,0,0,100.0 %,100.0 %
FLTW,3d RSI FLTW LT15 - L FLTW,-1.2 %,12.1 %,-606,6097,100.0 %,10.0 %,-1.2 %,122.0 %,0.0 %,-12.8 %,1,8,0.1,0.7,0.0 %,87.5 %,0,0.8,-606,730,-1.2 %,1.5 %,4,2.1,1,1,0,6,1,1,0,6,1,1,0,5,0,7,0,7,0,5.5,0,2,-1212,-1287,-1.2 %,-2.6 %,-1212,-1287,-1.2 %,-2.6 %,-1212,-415,-1.2 %,-0.8 %,0.0 %,87.5 %,0.0 %,87.5 %,0.0 %,87.5 %,0,1018,-606,-1287,0.0 %,85.7 %
FMB,4d RSI FMB LT14 - L FMB,-1.2 %,0.5 %,-605,228,100.0 %,5.6 %,-1.2 %,8.1 %,0.0 %,-0.4 %,1,4,0.1,0.3,0.0 %,75.0 %,0,1.5,-605,56,-1.2 %,0.1 %,13,2.5,1,1,0,3,1,1,0,3,1,1,0,2,0,3,0,3,0,4.6,0,1.5,-1211,-62,-1.2 %,-0.1 %,-1211,-62,-1.2 %,-0.1 %,-1211,-62,-1.2 %,-0.1 %,0.0 %,75.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0,96,-605,-62,0.0 %,66.7 %
FMHI,11d RSI FMHI LT25 - L FMHI,-0.1 %,3.1 %,-42,1568,100.0 %,6.0 %,-0.1 %,52.3 %,0.0 %,-1.2 %,1,3,0.1,0.2,0.0 %,100.0 %,0,,-42,515,-0.1 %,1.0 %,6,4,1,0,0,3,1,0,0,3,1,0,0,3,0,,0,3,0,,0,2.4,-84,0,-0.1 %,0.0 %,-84,0,-0.1 %,0.0 %,-84,0,-0.1 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,515,-42,0,0.0 %,100.0 %
FNCL,3d RSI FNCL LT14 - L FNCL,0.6 %,24.0 %,295,12106,40.0 %,13.6 %,1.5 %,178.0 %,-1.6 %,-4.5 %,3,9,0.2,0.8,66.7 %,100.0 %,0.7,,98,1218,0.2 %,2.4 %,4.7,2.8,1,0,2,9,1,0,2,9,1,0,2,9,2,,2,9,1.4,,0.3,4.1,-1673,0,-1.7 %,0.0 %,-1673,0,-1.7 %,0.0 %,-1673,0,-1.7 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,566,1218,-837,0,66.7 %,100.0 %
FNDA,7d RSI FNDA LT18 - L FNDA,2.6 %,2.6 %,1315,1295,100.0 %,5.2 %,2.6 %,49.8 %,0.0 %,-8.1 %,1,2,0.1,0.2,100.0 %,50.0 %,,2.4,1315,665,2.6 %,1.3 %,8,5.5,0,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,,2.4,0,0.6,0,-976,0.0 %,-1.9 %,0,-976,0.0 %,-1.9 %,0,-976,0.0 %,-1.9 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,1315,2306,0,-976,100.0 %,50.0 %
FNDC,7d RSI FNDC LT23 - L FNDC,1.4 %,7.7 %,702,3883,86.7 %,5.2 %,1.6 %,149.3 %,0.0 %,-3.6 %,2,4,0.2,0.3,50.0 %,100.0 %,1.9,,351,941,0.7 %,1.9 %,5.5,2.2,1,0,1,4,1,0,1,4,0,0,1,4,1,,1,4,1.9,,0.4,2.7,-1583,0,-1.6 %,0.0 %,-1583,0,-1.6 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,1493,941,-791,0,100.0 %,100.0 %
FNDE,11d RSI FNDE LT35 - L FNDE,5.2 %,8.4 %,2600,4216,53.8 %,6.4 %,9.7 %,131.8 %,0.0 %,-7.4 %,3,5,0.2,0.4,100.0 %,80.0 %,,4,867,815,1.7 %,1.6 %,1.3,2.2,0,1,3,3,0,0,3,4,0,0,1,4,,4,3,4,,15.9,5.9,2.5,0,-274,0.0 %,-0.6 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,100.0 %,867,1087,0,-274,100.0 %,100.0 %
FNDF,18d RSI FNDF LT42 - L FNDF,5.0 %,10.3 %,2505,5199,66.7 %,5.6 %,7.5 %,185.7 %,0.0 %,-4.1 %,2,5,0.2,0.4,100.0 %,100.0 %,,,1253,995,2.5 %,2.0 %,2,1.8,0,0,2,5,0,0,2,4,0,0,1,3,,,2,5,,,8,3.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1253,995,0,0,100.0 %,100.0 %
FPE,13d RSI FPE LT41 - L FPE,-0.4 %,3.0 %,-224,1488,94.1 %,10.8 %,-0.5 %,27.6 %,-0.8 %,-4.0 %,3,8,0.2,0.7,33.3 %,87.5 %,0.8,0.5,-75,183,-0.1 %,0.4 %,4.3,2.4,2,1,1,5,2,1,1,4,1,0,0,5,0.5,7,1,7,0.4,3.8,-0.8,1.9,-780,-516,-0.8 %,-1.0 %,-780,-516,-0.8 %,-1.0 %,-449,0,-0.4 %,0.0 %,33.3 %,87.5 %,33.3 %,87.5 %,33.3 %,85.7 %,166,283,-195,-516,0.0 %,100.0 %
FPEI,19d RSI FPEI LT38 - L FPEI,0.4 %,1.9 %,209,944,100.0 %,5.6 %,0.4 %,33.7 %,0.0 %,-2.3 %,1,4,0.1,0.3,100.0 %,100.0 %,,,209,233,0.4 %,0.5 %,3,2.5,0,0,1,4,0,0,1,4,0,0,1,2,,,1,4,,,0,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,209,233,0,0,100.0 %,100.0 %
FSTA,5d RSI FSTA LT22 - L FSTA,2.8 %,8.4 %,1415,4250,11.4 %,9.6 %,24.9 %,88.5 %,0.0 %,-1.7 %,2,6,0.2,0.5,100.0 %,83.3 %,,2.8,707,685,1.4 %,1.4 %,1.5,3,0,1,2,4,0,0,2,5,0,0,2,5,,5,2,5,,14.2,2.4,2.2,0,-310,0.0 %,-0.6 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,100.0 %,707,884,0,-310,100.0 %,100.0 %
FTCS,8d RSI FTCS LT44 - L FTCS,-4.5 %,17.2 %,-2262,8648,100.0 %,28.8 %,-4.5 %,60.0 %,0.0 %,-4.0 %,1,18,0.1,1.5,0.0 %,77.8 %,0,4.2,-2262,444,-4.5 %,0.9 %,14,2.9,1,1,0,6,1,1,0,6,1,1,0,6,0,3.5,0,14,0,14.6,0,4.4,-4524,-349,-4.5 %,-0.7 %,-4524,-349,-4.5 %,-0.7 %,-4524,-133,-4.5 %,-0.3 %,0.0 %,77.8 %,0.0 %,77.8 %,0.0 %,76.5 %,0,612,-2262,-147,0.0 %,81.8 %
FTEC,5d RSI FTEC LT17 - L FTEC,4.4 %,6.9 %,2205,3490,100.0 %,6.4 %,4.4 %,109.1 %,0.0 %,-11.3 %,1,2,0.1,0.2,100.0 %,50.0 %,,2.7,2205,1857,4.4 %,3.7 %,1,7,0,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,,2.7,0,0.7,0,-2143,0.0 %,-4.3 %,0,-2143,0.0 %,-4.3 %,0,-2143,0.0 %,-4.3 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,2205,5856,0,-2143,100.0 %,50.0 %
FTSL,21d RSI FTSL LT46 - L FTSL,0.5 %,0.7 %,233,357,86.0 %,6.8 %,0.5 %,10.5 %,-0.7 %,-2.4 %,8,4,0.7,0.3,50.0 %,75.0 %,1.7,1.2,29,88,0.1 %,0.2 %,3.5,3.2,4,1,4,2,3,1,4,2,1,0,1,2,1,3,4,3,1.7,3.7,0.6,1.4,-712,-129,-0.7 %,-0.3 %,-712,-129,-0.7 %,-0.3 %,-422,0,-0.4 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,57.1 %,75.0 %,147,161,-89,-129,50.0 %,100.0 %
FTSM,15d RSI FTSM LT69 - L FTSM,0.2 %,0.4 %,96,193,100.0 %,6.0 %,0.2 %,6.4 %,0.0 %,-0.1 %,4,4,0.3,0.3,75.0 %,100.0 %,,,24,48,0.0 %,0.1 %,2.5,2.8,1,0,3,4,1,0,2,3,0,0,1,2,3,,3,4,,,2.1,6.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,66.7 %,100.0 %,32,48,0,0,100.0 %,100.0 %
FTXO,13d RSI FTXO LT27 - L FTXO,2.7 %,11.2 %,1335,5622,100.0 %,5.2 %,2.7 %,216.2 %,0.0 %,-5.8 %,1,4,0.1,0.3,100.0 %,75.0 %,,1.9,1335,1374,2.7 %,2.8 %,6,2.2,0,1,1,3,0,1,1,2,0,1,1,2,,3,1,3,,5.6,0,1.5,0,-1203,0.0 %,-2.4 %,0,-1203,0.0 %,-2.4 %,0,-1203,0.0 %,-2.4 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,66.7 %,1335,2233,0,-1203,100.0 %,66.7 %
FTXR,3d RSI FTXR LT10 - L FTXR,-1.7 %,23.9 %,-863,12036,100.0 %,9.6 %,-1.7 %,250.7 %,0.0 %,-4.0 %,1,8,0.1,0.7,0.0 %,87.5 %,0,3.4,-863,1375,-1.7 %,2.8 %,7,2,1,1,0,5,1,1,0,5,1,0,0,6,0,7,0,7,0,24,0,2.8,-1725,-479,-1.7 %,-1.0 %,-1725,-479,-1.7 %,-1.0 %,-1725,0,-1.7 %,0.0 %,0.0 %,87.5 %,0.0 %,87.5 %,0.0 %,87.5 %,0,1640,-863,-479,0.0 %,100.0 %
FUTY,3d RSI FUTY LT58 - L FUTY,-0.6 %,28.8 %,-298,14528,63.3 %,68.0 %,-0.9 %,42.7 %,-3.5 %,-4.7 %,6,39,0.5,3.3,33.3 %,82.0 %,1.7,1.1,-50,328,-0.1 %,0.7 %,5.3,3.3,2,2,2,9,2,2,2,13,1,1,1,11,0.5,4.6,2,32,0.9,5.1,-0.2,4.5,-3637,-406,-3.6 %,-0.8 %,-3637,-406,-3.6 %,-0.8 %,-3637,-603,-3.6 %,-1.2 %,33.3 %,82.0 %,33.3 %,82.0 %,33.3 %,82.3 %,887,498,-518,-449,33.3 %,91.7 %
FXE,11d RSI FXE LT37 - L FXE,1.0 %,3.8 %,480,1893,39.2 %,6.8 %,2.4 %,55.7 %,-1.2 %,-0.5 %,5,6,0.4,0.5,60.0 %,100.0 %,1.2,,96,308,0.2 %,0.6 %,2.8,1.8,2,0,2,6,1,0,2,6,1,0,1,4,1.5,,3,6,1.8,,0.6,4.3,-1258,0,-1.3 %,0.0 %,-426,0,-0.4 %,0.0 %,-275,0,-0.3 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,75.0 %,100.0 %,370,308,-314,0,50.0 %,100.0 %
FXF,6d RSI FXF LT24 - L FXF,1.1 %,3.3 %,543,1678,12.2 %,5.2 %,8.9 %,64.5 %,0.0 %,-0.6 %,2,5,0.2,0.4,100.0 %,100.0 %,,,272,329,0.5 %,0.7 %,2,1.6,0,0,2,5,0,0,2,5,0,0,2,5,,,2,5,,,2.7,5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,272,329,0,0,100.0 %,100.0 %
FXI,15d RSI FXI LT42 - L FXI,1.6 %,13.4 %,782,6771,69.4 %,11.2 %,2.3 %,120.9 %,-3.1 %,-10.8 %,7,8,0.6,0.7,71.4 %,87.5 %,0.6,0.7,112,807,0.2 %,1.6 %,2.4,2.5,1,1,3,6,1,0,2,7,1,0,1,5,2.5,7,5,7,1.4,5,0.4,2,-3156,-1612,-3.2 %,-3.2 %,-2481,0,-2.5 %,0.0 %,-1414,0,-1.4 %,0.0 %,71.4 %,87.5 %,71.4 %,87.5 %,66.7 %,100.0 %,527,1153,-927,-1612,50.0 %,100.0 %
FXO,3d RSI FXO LT15 - L FXO,-1.4 %,27.1 %,-696,13661,53.6 %,14.0 %,-2.6 %,195.2 %,-2.2 %,-5.4 %,2,9,0.2,0.8,50.0 %,100.0 %,0.4,,-348,1355,-0.7 %,2.7 %,6,2.8,1,0,1,9,1,0,1,9,1,0,1,8,1,,1,9,0.4,,-0.6,5.8,-2266,0,-2.3 %,0.0 %,-2266,0,-2.3 %,0.0 %,-2266,0,-2.3 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,437,1355,-1133,0,50.0 %,100.0 %
FXR,9d RSI FXR LT23 - L FXR,-0.6 %,14.5 %,-305,7311,100.0 %,5.2 %,-0.6 %,281.2 %,0.0 %,-4.6 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-305,1729,-0.6 %,3.5 %,7,2.2,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,4.2,-611,0,-0.6 %,0.0 %,-611,0,-0.6 %,0.0 %,-611,0,-0.6 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1729,-305,0,0.0 %,100.0 %
FXY,4d RSI FXY LT14 - L FXY,1.6 %,4.2 %,795,2098,22.9 %,5.6 %,6.9 %,74.9 %,0.0 %,-0.9 %,3,5,0.2,0.4,100.0 %,100.0 %,,,265,411,0.5 %,0.8 %,2.7,1.8,0,0,3,5,0,0,3,5,0,0,2,5,,,3,5,,,4.3,2.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,265,411,0,0,100.0 %,100.0 %
GDX,18d RSI GDX LT59 - L GDX,-4.4 %,112.8 %,-2194,56844,84.6 %,55.2 %,-5.2 %,206.0 %,-14.8 %,-6.4 %,7,38,0.6,3.2,57.1 %,86.8 %,0.6,1.9,-313,1016,-0.6 %,2.0 %,3.6,2.5,2,1,3,15,2,1,3,11,1,0,1,11,1.3,6.6,4,33,0.8,12.8,-0.3,5.5,-16615,-1459,-16.6 %,-2.9 %,-16615,-1459,-16.6 %,-2.9 %,-16615,0,-16.6 %,0.0 %,57.1 %,86.8 %,57.1 %,86.8 %,60.0 %,82.1 %,1694,1270,-2990,-655,50.0 %,100.0 %
GDXJ,21d RSI GDXJ LT45 - L GDXJ,-8.0 %,25.2 %,-4014,12678,100.0 %,5.6 %,-8.0 %,452.8 %,0.0 %,-3.1 %,2,4,0.2,0.3,50.0 %,100.0 %,0.3,,-2007,2904,-4.0 %,5.8 %,3.5,2.5,1,0,1,4,1,0,0,4,1,0,0,4,1,,1,4,0.3,,-0.8,4.1,-11216,0,-11.2 %,0.0 %,-8028,0,-8.0 %,0.0 %,-8028,0,-8.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,0.0 %,100.0 %,1594,2904,-5608,0,0.0 %,100.0 %
GEM,3d RSI GEM LT12 - L GEM,2.5 %,13.8 %,1243,6953,80.0 %,8.4 %,3.1 %,165.6 %,0.0 %,-5.9 %,2,7,0.2,0.6,100.0 %,100.0 %,,,621,936,1.2 %,1.9 %,1,2,0,0,2,7,0,0,2,7,0,0,1,7,,,2,7,,,3.7,3.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,621,936,0,0,100.0 %,100.0 %
